Person,Hair,Age,Skin Colour,Gender,Glasses
Person 1,Blonde,Young,Light,Female,No
Person 2,Blonde,Young,Light,Male,Yes
Person 3,Blonde,Young,Light,Male,No
Person 4,Blonde,Young,Dark,Female,No
Person 5,Blonde,Young,Dark,Male,No
Person 6,Blonde,Old,Light,Female,No
Person 7,Blonde,Old,Light,Male,Yes
Person 8,Blonde,Old,Dark,Male,Yes
Person 9,Brown,Young,Light,Female,No
Person 10,Brown,Young,Light,Male,No
Person 11,Brown,Young,Dark,Female,No
Person 12,Brown,Young,Dark,Male,No
Person 13,Brown,Old,Light,Female,Yes
Person 14,Brown,Old,Light,Female,No
Person 15,Brown,Old,Light,Male,No
Person 16,Brown,Old,Dark,Female,No
Person 17,Black,Young,Light,Female,No
Person 18,Black,Young,Light,Male,No
Person 19,Black,Young,Dark,Female,No
Person 20,Black,Young,Dark,Male,Yes
Person 21,Black,Young,Dark,Female,Yes
Person 22,Black,Old,Light,Male,No
Person 23,Black,Old,Dark,Female,No
Person 24,Black,Old,Dark,Male,Yes
