id row,id_output,Forms,no,Number,Name,family,Stage,Type,Type Colour,Colour Preevo,Type File,Rarity,hp,retreat,Move1,Move2,Ability,Prompt,file,previous stage,Move1 Cost,Move1 Name,Move1 Damage,Move1 Description,Move2 Cost,Move2 Name,Move2 Damage,Move2 Description,Special card
01,Elemental Awakening_01.png,,1,#1 / Elemental Awakening,Meditot,1,Stage 1,Mystic,#800080,#800080,Mystic.png,1,50 hp,2,2-20 (hallu),,,Can you create a smaller cuter version?,Meditot.png,,MM,Mind Mirage,20,This move causes Hallucination.,,,,,
02,Elemental Awakening_02.png,,2,#2 / Elemental Awakening,Zenquaza,1,Stage 2,Mystic,#800080,#000000,Mystic.png,2,100 hp,2,3-30+20(50%) (hallu),,,"Can you create images of a creature that is mystic/psychic type, colour should be yellow and blue inspired by meditation. Think Pokemon. Suggest its name.",Zenquaza.png,Meditot.png,MMN,Ethereal Echo,30+,"Flip a coin. If heads, this moves deals 30 more damage. This move causes Hallucination.",,,,,
03,Elemental Awakening_03.png,,3,#3 / Elemental Awakening,Harmoniqueon,2,Stage 1,Mystic,#800080,#800080,Mystic.png,3,110 hp,2,1-20,4-50 (hallu),,"Can you create images of a creature that is mystic/psychic type, colour should be red/pink inspired by music. Think Pokemon.",Harmoniqueon.png,,M,Cosmic Calm,20,,MMNN,Phantom Pulse,60,This move causes Hallucination.,
04,Elemental Awakening_04.png,,4,#4 / Elemental Awakening,Traplet,3,Stage 1,Mystic,#800080,#800080,Mystic.png,1,60 hp,1,1-10,,,"Can you create images of a creature that is mystic/psychic type, colour should be red/pink inspired by a something that traps. Think Pokemon.",Traplet.png,,M,Aura Whisper,10,,,,,,
05,Elemental Awakening_05.png,,5,#5 / Elemental Awakening,Traphex,3,Stage 2,Mystic,#800080,#000000,Mystic.png,3,120 hp,2,1-30,2-50+entrap,,"make it stronger, no brackground",Traphex.png,Traplet.png,M,Lunar Glow,30,,MM,Ethereal Snare,50,Your opponent's active creature can't retreat.,
06,Elemental Awakening_06.png,,6,#6 / Elemental Awakening,Chimerasprout,4,Stage 1,Mystic,#800080,#800080,Mystic.png,1,60 hp,1,1-10,,,Can you create a smaller cuter version?,Chimerasprout.png,,M,Psycho Drift,10,,,,,,
07,Elemental Awakening_07.png,,7,#7 / Elemental Awakening,Chimerafluff,4,Stage 2,Mystic,#800080,#000000,Mystic.png,2,90 hp,1,2-30,,,Make it a bit smaller,Chimerafluff.png,Chimerasprout.png,MN,Mental Tackle,30,,,,,,
08,Elemental Awakening_08.png,,8,#8 / Elemental Awakening,Chimereal,4,Stage 3,Mystic,#800080,#000000,Mystic.png,4,140 hp,3,2-40,4-100 (discard 2),,"Can you create images of a creature that is mystic/psychic type, colour should be purple and white inspired by chimera. Think Pokemon. Suggest its name.",Chimereal.png,Chimerafluff.png,MN,Illusion Mist,40,,MMMN,Vision Beam,100,Discard 2 energy from this creature,
09,Elemental Awakening_09.png,,9,#9 / Elemental Awakening,Pheonyx,5,Stage 1,Mystic,#800080,#800080,Mystic.png,3,90 hp,3,1-10+20(50%),4-30 to each creature,Phase Shift: The creature can move out of the active position and reappear on the bench after an attack,"Can you create images of a creature that is mystic/psychic type, colour should be mostly white inspired by phoenix. Think Pokemon. Suggest its name.",Pheonyx.png,,N,Dizzy Shot,10+,"Flip a coin. If heads, this moves deals 20 more damage.",MMMN,Mystic Blaze,,This move does 30 damage to each creature from your opponent,
10,Elemental Awakening_10.png,,10,#10 / Elemental Awakening,Mystikid,6,Stage 1,Mystic,#800080,#800080,Mystic.png,1,40 hp,1,1-0 + 50%hallu,,,Can you create a smaller cuter version?,Mystikid.png,,M,Dreamwave,,"Flip a coin. If heads, this move causes Hallucination.",,,,,
11,Elemental Awakening_11.png,,11,#11 / Elemental Awakening,Mystikeon,6,Stage 2,Mystic,#800080,#000000,Mystic.png,3,80 hp,1,2-30 + 50%hallu,3-60,Camouflage: Your bench creatures can't be damaged,"Can you create images of a creature that is mystic/psychic type, colour should be green inspired by camouflage. Think Pokemon. Suggest its name.",Mystikeon.png,Mystikid.png,MM,Dream Booster,30,"Flip a coin. If heads, this moves causes Hallucination.",MMM,Zen Bolt,60,,
12,Elemental Awakening_12.png,,12,#12 / Elemental Awakening,Spiritfoil,7,Stage 1,Mystic,#800080,#800080,Mystic.png,1,60 hp,1,1-10,,,,Spiritfoil.png,,N,Shade Tackle,10,,,,,,
13,Elemental Awakening_13.png,,13,#13 / Elemental Awakening,Nebulicorn,7,Stage 2,Mystic,#800080,#000000,Mystic.png,2,80 hp,1,1-30,,,,Nebulicorn.png,Spiritfoil.png,M,Nebula Howl,30,,,,,,
14,Elemental Awakening_14.png,,14,#14 / Elemental Awakening,Wraithhorn,7,Stage 3,Mystic,#800080,#000000,Mystic.png,3,90 hp,2,2-50,,,,Wraithhorn.png,Nebulicorn.png,MM,Wraith Dash,50,,,,,,
15,Elemental Awakening_15.png,,15,#15 / Elemental Awakening,Zephyrquill,8,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,2,40 hp,1,1-40,,,,Zephyrquill.png,,W,Gale Flow,30,,,,,,
16,Elemental Awakening_16.png,,16,#16 / Elemental Awakening,Aeruffin,9,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,3,90 hp,2,2-30,3-40*(4),,"Can you create images of a creature that is wind/flying type, colour should be mostly blueinspired by a puffin. Think Pokemon. Suggest its name.",Aeruffin.png,,WN,Beak Gust,30,,WWN,Gale Flip,40x,Flip 4 coins. This move does 40 damage for each heads.,
17,Elemental Awakening_17.png,,17,#17 / Elemental Awakening,Stormbud,10,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,30 hp,1,1-30,,,Make it more like a baby version,Stormbud.png,,W,Budding Wind,30,,,,,,
