id row,id_output,Forms,no,Number,Name,family,Stage,Type,Type Colour,Colour Preevo,Type File,Rarity,hp,retreat,Move1,Move2,Ability,Prompt,file,previous stage,Move1 Cost,Move1 Name,Move1 Damage,Move1 Description,Move2 Cost,Move2 Name,Move2 Damage,Move2 Description,Special card
01,Galactic Adventures_01.png,,1,#1 / Galactic Adventures,Gadgetrix,1,Stage 1,Mechanic,#dc9056,#dc9056,Mechanic.png,1,70 hp,2,2-30,,,,Gadgetrix.png,,KK,Rusty Scratch,30,,,,,,
02,Galactic Adventures_02.png,,2,#2 / Galactic Adventures,Teklash,1,Stage 2,Mechanic,#dc9056,#000000,Mechanic.png,3,120 hp,2,2-30,3-12.5% OHKO,,"Help me. Trying to create my own pokemon. Its signature move is Flip 3 coins. If all 3 coins land on heads, the opponent's active creature is knocked out. If not, this move has no effect. It is a mechanic type. Make it dark purple and pink.",Teklash.png,Gadgetrix.png,KK,Metallic Clink,30,,NNN,Triple Threat Flip,,"Flip 2 coins. If both land on heads, the opponent's active creature is knocked out no matter the HP it has left. If not, this move has no effect.",
03,Galactic Adventures_03.png,,3,#3 / Galactic Adventures,Psybella,2,Stage 1,Mystic,#800080,#800080,Mystic.png,1,50 hp,1,1-20+50%hallu,,,,Psybella.png,,M,Mind Pulse,20,"Flip a coin. If heads, this move causes Hallucination.",,,,,
04,Galactic Adventures_04.png,,4,#4 / Galactic Adventures,Fuschioria,2,Stage 2,Mystic,#800080,#000000,Mystic.png,2,90 hp,1,1-30+50%hallu,2-50 + ,,"Can you create now the image of a mystic psychic pokemon that has these moves as their key moves: Flip a coin. If heads, this move causes Hallucination. This move does 30 extra damage if your opponent has a status condtion. Make it light blue and beige. White background.",Fuschioria.png,Psybella.png,M,Dream Booster,30,"Flip a coin. If heads, this move causes Hallucination.",MM,Shadow Wrap,40+,"This move does 30 extra damage if your opponent has a special condition, such as Hallucination, Lock or Flux.",
05,Galactic Adventures_05.png,,5,#5 / Galactic Adventures,Zenethra,3,Stage 1,Mystic,#800080,#800080,Mystic.png,4,50 hp,2,2-3 coins - opponent doesnt attack. faint,,,,Zenethra.png,,MM,Invincible Gambit,,"Flip 3 coins. For each heads, your opponent cannot deal damage to you for one turn. This creature faints.",,,,,
06,Galactic Adventures_06.png,,6,#6 / Galactic Adventures,Anter,4,Stage 1,Neutral,#808080,#808080,Neutral.png,1,60 hp,1,1-10,,,Create a pokemon based on an ant. It should be yellow. white background. Normal type.,Anter.png,,N,Gentle Nudge,10,,,,,,
07,Galactic Adventures_07.png,,7,#7 / Galactic Adventures,Antoro,4,Stage 2,Neutral,#808080,#000000,Neutral.png,2,80 hp,1,2-20,,,,Antoro.png,Anter.png,NN,Back Whip,20,,,,,,
08,Galactic Adventures_08.png,,8,#8 / Galactic Adventures,Antaray,4,Stage 3,Neutral,#808080,#000000,Neutral.png,3,110 hp,3,3-60,,"Extra Charge: It works from active slot and bench. Once during your turn, if you use this ability you can then select a neutral creature and attach an energy to it. It doesn't work with other creature types.",,Antaray.png,Antoro.png,NNN,Quick jab,60,,,,,,
09,Galactic Adventures_09.png,a,9-a,#9-a / Galactic Adventures,Meerkool,5,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,1,1-10,,Guardian Mode: It works from active spot and bench. Reduces all damage taken by any creature in your time by 10.,,Meerkool_a.png,,N,Berserk ,10,,,,,,
10,Galactic Adventures_10.png,b,9-b,#9-b / Galactic Adventures,Meerkool,5,Stage 1,Neutral,#808080,#808080,Neutral.png,2,50 hp,1,1-10,,Warrior Mode: It works from active spot and bench. Increases all damage from the attack of your active creature by 10,,Meerkool_b.png,,N,Berserk ,10,,,,,,
11,Galactic Adventures_11.png,,10,#10 / Galactic Adventures,Starraffe,6,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,3,90 hp,2,1-20,3-50,,,Starraffe.png,,C,Galactic Meteor,,This moves does 10 damage for each energy attached to your opponent,NNN,Starfall Strike,50,,
12,Galactic Adventures_12.png,,11,#11 / Galactic Adventures,Trunket,7,Stage 1,Celestial,#c1fbcf,#c1fbcf,Celestial.png,1,70 hp,2,1-20,,"Healing Retreat: You can only use it on the active spot. If you use it and then retreat to the bench, it heals 20 HP.",,Trunket.png,,C,Celestial Vines,20,,,,,,
13,Galactic Adventures_13.png,,12,#12 / Galactic Adventures,Elefeir,7,Stage 2,Celestial,#c1fbcf,#000000,Celestial.png,2,90 hp,2,2-40,,"Healing Retreat: You can only use it on the active spot. If you use it and then retreat to the bench, it heals 40 HP.",,Elefeir.png,Trunket.png,CN,Astral Tusk,40,,,,,,
14,Galactic Adventures_14.png,,13,#13 / Galactic Adventures,Planterdon,7,Stage 3,Celestial,#c1fbcf,#000000,Celestial.png,3,110 hp,2,2-60,,"Mirage Shield: If this creature is in the active slot, you can use this ability. If you do, your opponent can't use items next turn.",,Planterdon.png,Elefeir.png,CN,Starry Stomp,60,,,,,,
15,Galactic Adventures_15.png,,14,#14 / Galactic Adventures,Airsting,8,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,50 hp,1,,,,,Airsting.png,,N,Aero Pollen,20,,,,,,
16,Galactic Adventures_16.png,,15,#15 / Galactic Adventures,Breezebuzz,8,Stage 2,Wind,#ADD8E6,#000000,Wind.png,3,80 hp,2,,,"Thunder Rush: You can use from active slot only. If your opponent evolved a creature in the last turn, either from Stage 1 to Stage 2 or Stage 2 to Stage 3, you can use this ability. if you do, your attack damage this turn will be doubled..",,Breezebuzz.png,Airsting.png,WN,Cyclone Swarm,50,,,,,,
17,Galactic Adventures_17.png,,16,#16 / Galactic Adventures,Skybee,9,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,1,60 hp,1,,,,,Skybee.png,,WN,Zephyr Sting,40,,,,,,
18,Galactic Adventures_18.png,,17,#17 / Galactic Adventures,Zephyrbuzz,9,Stage 2,Wind,#ADD8E6,#000000,Wind.png,3,90 hp,2,,,"Thunder Rush: You can use from active slot only. If your opponent evolved a creature in the last turn, either from Stage 1 to Stage 2 or Stage 2 to Stage 3, you can use this ability. if you do, your attack damage this turn will be doubled..",,Zephyrbuzz.png,Skybee.png,WWN,Whirlwind Wasp,60,,,,,,
19,Galactic Adventures_19.png,,18,#18 / Galactic Adventures,Astralin,10,Stage 1,Mystic,#800080,#800080,Mystic.png,1,50 hp,2,,,,,Astralin.png,,M,Tidal Illusion,,"Flip a coin. If heads, your opponent deals no damage next turn.",,,,,
20,Galactic Adventures_20.png,,19,#19 / Galactic Adventures,Aetherin,10,Stage 2,Mystic,#800080,#000000,Mystic.png,2,70 hp,2,,,,,Aetherin.png,Astralin.png,MM,Mind Ripple,20,"Next turn, this creature takes 20 less damage.",,,,,
21,Galactic Adventures_21.png,,20,#20 / Galactic Adventures,Mystaeon,10,Stage 3,Mystic,#800080,#000000,Mystic.png,4,110 hp,3,,,,,Mystaeon.png,Aetherin.png,MM,Flux Wave,60,Your opponent's creature is now affected by Flux,,,,,
22,Galactic Adventures_22.png,,21,#21 / Galactic Adventures,Hoatzion,11,Stage 1,Wind,#ADD8E6,#ADD8E6,Wind.png,3,80 hp,1,,,,,Hoatzion.png,,W,Verdant Struggle,,"Flip 2 coins. If you get 2 heads, deal 50 damage. Otherwise, deal no damage.",WWW,Fury Spin,60+,This moves does 50 more damage if its HP is 30 or less.,
