Name,Type,PNG asset,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total Stats,Move 1,Move 2,Move 3,Move 4,Move 5,Move 6,Move 7,Move 8,Move 9,Move 10,Move 11,Move 12,Ability 1,Ability 2
Zenquaza,Mystic,Zenquaza.png,70,40,45,80,90,90,415,Shield,Spirit Rend,Ether Bloom,Silent Echo,Mindful Scream,Starfall Burst,Cosmic Divide,Quick Bite,Scary Taunt,Rally Cry,Focus Jab,Pastry Crunch,Arcane Surge,Spirit Channel
Harmoniqueon,Mystic,Harmoniqueon.png,90,50,83,94,112,70,499,Shield,Arcane Pulse,Spirit Rend,Ether Bloom,Silent Echo,Mindful Scream,Tail Current,Stun Blessing,Scary Taunt,Rally Cry,Pastry Crunch,Double Guard,Ethereal Guard,Veil Burn
Zephyrquill,Wind,Zephyrquill.png,50,55,55,55,55,108,378,Shield,Ether Bloom,Silent Echo,Mindful Scream,Cyclone Sweep,Tail Current,Freezing Breeze,Windy Lash,Starfall Burst,Nebula Veil,Scary Taunt,Huge Recovery,Tailwind Engine,Airborne
Aeruffin,Wind,Aeruffin.png,73,84,74,67,83,92,473,Shield,Gale Strike,Cyclone Sweep,Tail Current,Freezing Breeze,Windy Lash,Radiant Slash,Stun Blessing,Quick Bite,Rally Cry,Pastry Crunch,Tackle Gamble,Gust Infusion,Cyclone Core
Dewmo,Neutral,Dewmo.png,102,70,88,70,50,80,460,Shield,Arcane Pulse,Spirit Rend,Gale Strike,Gear Grind,Overclock Beam,System Shock,Scary Taunt,Rally Cry,Focus Jab,Tackle Gamble,Huge Recovery,Steadfast,Balanced Mind
Galaktikreme,Neutral,Galaktikreme.png,68,47,46,103,70,68,402,Shield,Cyclone Sweep,Radiant Slash,Stun Blessing,Rust Breaker,Overclock Beam,Quick Bite,Scary Taunt,Rally Cry,Focus Jab,Pastry Crunch,Tackle Gamble,Mystic Resonance,Focused Resolve
Aerobloom,Celestial,Aerobloom.png,80,35,40,98,88,101,442,Shield,Arcane Pulse,Gale Strike,Starfall Burst,Cosmic Divide,Radiant Slash,Stun Blessing,Nebula Veil,Rally Cry,Focus Jab,Pastry Crunch,Tackle Gamble,Comic Focus,Starborn Aura
Rosalia,Celestial,Rosalia.png,108,45,92,75,100,60,480,Shield,Arcane Pulse,Spirit Rend,Ether Bloom,Silent Echo,Mindful Scream,Starfall Burst,Cosmic Divide,Radiant Slash,Stun Blessing,Nebula Veil,Huge Recovery,Nebula Drift,Radiant Blessing
Voltveil,Mechanic,Voltveil.png,119,40,103,50,67,42,421,Shield,Arcane Pulse,Freezing Breeze,Windy Lash,Gear Grind,Rust Breaker,System Shock,Iron Barrier,Scary Taunt,Focus Jab,Double Guard,Tackle Gamble,Ironhide,Overclock Burden
Byteblade,Mechanic,Byteblade.png,98,70,88,80,77,63,476,Shield,Spirit Rend,Cyclone Sweep,Radiant Slash,Gear Grind,Rust Breaker,Overclock Beam,System Shock,Iron Barrier,Quick Bite,Scary Taunt,Rally Cry,Circuit Breaker,Rustproof
